Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,tavg,C_value,CV_C_value
Abies,Pinaceae,Pinophyta,0.362318841,0.041666667,1.0,1.0,0.004761905,0.28760069469672456,1.0,1.0,0.0,0.695652174,0.8674,17.23266667,9.085723529
Abronia,Nyctaginaceae,Caryophyllales,4.166666667,0.3125,0.6875,0.0,0.005063291,0.0,0.9841325564285818,0.7694294731480881,1.0,3.0,0.6304592000547441,1.19,
Abutilon,Malvaceae,Malvales,0.0,0.0,0.763157895,0.394736842,0.006153846,0.0,1.0,1.0,1.0,3.5,0.057,1.245,0
Acacia,Fabaceae,Fabales,0.208188758,0.136363636,1.0,1.0,0.096494845,0.0,1.0,0.9291558728928572,1.0,1.5,0.807875,1.186321839,31.78010935
Acaena,Rosaceae,Rosales,8.888888889,0.4,1.0,0.0,0.001060071,0.0,0.869068767173913,0.5,0.9722222222083333,2.1739697801,0.8256875,0.33,
Acalypha,Euphorbiaceae,Malpighiales,0.0,0.0,0.0,0.0,0.01239531,0.2,0.980769231,0.744047619,0.0,2.772727273,0.58,2.6397142856666664,
Acamptopappus,Asteraceae,Asterales,0.0,0.0,1.0,1.0,0.00210989,0.015625,0.9667911996712328,0.761325295527027,0.9507266543025209,2.58694816475,0.6654010416875,3.3862005286025645,
Acanthomintha,Lamiaceae,Lamiales,0.0,0.0,0.0,0.0,0.004320557,0.9583333333749999,1.0,0.7129528985652174,0.9986772486666666,1.5795454545454546,0.664,1.1319000933529413,
Acanthopanax,Araliaceae,Apiales,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,2.4728535353333334,0.6304592000547441,1.8086842105,
Acanthospermum,Asteraceae,Asterales,0.0,0.0,0.0,0.0,0.00210989,0.0,0.9667911996712328,0.761325295527027,1.0,2.58694816475,0.6654010416875,3.3862005286025645,
Acanthus,Acanthaceae,Lamiales,0.0,0.0,1.0,0.0,0.000857143,1.0,0.9841325564285818,0.7694294731480881,1.0,0.8,0.6304592000547441,3.61002258814534,
Acer,Sapindaceae,Sapindales,0.185013876,0.042553191,1.0,1.0,0.001265823,0.0,1.0,0.916666667,0.833333333,2.166666667,0.945,0.908181818,26.43476679
Achillea,Asteraceae,Asterales,0.790960452,0.233333333,1.0,0.0,0.00210989,0.0,1.0,0.5,1.0,2.58694816475,0.6654010416875,4.137692308,51.15042164
Achlys,Berberidaceae,Ranunculales,0.0,0.0,1.0,0.0,0.0,0.28760069469672456,1.0,0.833333333,1.0,1.980392157,0.6304592000547441,2.7507894735,
Achnatherum,Poaceae,Poales,2.857142857,0.2,1.0,0.0,0.074314214,1.0,0.9609953703833334,0.7215099227419354,0.03468030404761905,1.7807017544210528,0.49689285714285714,4.6528267402125,
Achyranthes,Amaranthaceae,Caryophyllales,0.0,0.0,0.916666667,0.5,0.041463415,0.0,1.0,0.9744318181818182,0.35317136391304343,3.25,0.199,1.3453542688666666,
Acianthus,Orchidaceae,Asparagales,0.0,0.0,1.0,0.0,0.0,1.0,0.967948717923077,0.7159863945,1.0,2.9197885448571426,0.6304592000547441,10.827903073333333,
Acinos,Lamiaceae,Lamiales,60.0,1.2,0.8,0.0,0.004320557,0.9583333333749999,1.0,1.0,1.0,1.5795454545454546,0.664,1.1319000933529413,
Aciphylla,Apiaceae,Apiales,0.0,0.0,1.0,0.0,0.003968254,0.0,1.0,0.8953401360571428,0.9996012759210526,3.3888888888333333,0.925,2.5124782609130434,
Aconitum,Ranunculaceae,Ranunculales,0.653594771,0.055555556,1.0,0.0,0.0,0.25,1.0,0.958333333,1.0,3.75,0.884,5.44,
Acorus,Acoraceae,Acorales,0.0,0.0,1.0,0.0,0.0,0.28760069469672456,1.0,0.0,1.0,2.3942552466726874,0.6304592000547441,0.525,33.67175149
Acrotriche,Ericaceae,Ericales,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.582051282,0.9527777777333333,1.9659090908333334,0.9123333333333333,0.8798214285,
